id,label,value,label1
7,fala,4,fal
8,falado,4,fal
1,falando,34,fal
2,falar,22,fal
17,falaram,1,fal
14,falarem,1,fal
15,falasse,1,fal
0,falava,42,fal
13,falavam,1,fal
3,falei,17,fal
16,falido,1,fal
9,falo,4,fal
6,falou,4,fal
19,fica,1,fal
11,ficar,3,fal
5,ficava,8,fal
12,ficavam,2,fal
4,pessoa,14,fal
10,pessoal,3,fal
18,pessoas,1,fal
14,amiga,3,peg
3,casa,23,peg
16,casada,2,peg
17,casamento,2,peg
15,fica,2,peg
24,ficamos,1,peg
22,ficante,1,peg
18,ficar,2,peg
23,ficaria,1,peg
6,ficava,8,peg
13,fogo,3,peg
5,pega,10,peg
20,pegada,1,peg
7,pegado,7,peg
19,pegamos,1,peg
2,pegando,39,peg
1,pegar,46,peg
10,pegaram,5,peg
11,pegarem,4,peg
9,pegas,5,peg
0,pegava,79,peg
12,pegavam,4,peg
8,pego,6,peg
4,pegou,19,peg
21,peguei,1,peg
24,bichinho,1,jog
26,bichinhos,1,jog
4,bicho,19,jog
23,faz,1,jog
22,fazendo,1,jog
8,fazer,6,jog
7,fazia,7,jog
21,faziam,1,jog
14,ganhado,2,jog
28,ganhamos,1,jog
15,ganhava,2,jog
25,ganhavamos,1,jog
27,ganhei,1,jog
19,jogada,1,jog
9,jogado,5,jog
12,jogadora,2,jog
18,jogadores,1,jog
13,jogamos,2,jog
0,jogando,72,jog
3,jogar,36,jog
20,jogaram,1,jog
2,jogava,48,jog
17,jogavam,1,jog
1,jogo,63,jog
6,jogos,7,jog
5,jogou,9,jog
16,joguei,2,jog
10,league,4,jog
11,legends,4,jog
0,aranha,24,aranh
5,aranhas,1,aranh
1,homem,14,aranh
7,homens,1,aranh
10,morri,1,aranh
9,morria,1,aranh
3,mulher,3,aranh
8,pica,1,aranh
4,picada,3,aranh
6,picado,1,aranh
2,picava,3,aranh
9,aniversario,7,ganh
15,ceara,2,ganh
16,ganha,2,ganh
2,ganhado,43,ganh
22,ganhamos,1,ganh
14,ganhando,3,ganh
5,ganhar,10,ganh
20,ganharam,2,ganh
21,ganharia,1,ganh
0,ganhava,131,ganh
23,ganhavam,1,ganh
1,ganhei,46,ganh
17,ganho,2,ganh
3,ganhou,18,ganh
4,gente,14,ganh
18,linda,2,ganh
25,lindas,1,ganh
24,lindinho,1,ganh
8,lindo,8,ganh
7,lula,9,ganh
11,rifa,5,ganh
19,rifas,2,ganh
13,santos,3,ganh
12,sorteio,4,ganh
10,surpresa,6,ganh
6,turno,10,ganh
21,apareca,1,grav
25,aparece,1,grav
23,gente,1,grav
20,gravado,1,grav
19,gravando,1,grav
18,gravava,1,grav
11,gravei,2,grav
0,gravida,291,grav
10,gravidas,2,grav
5,gravido,7,grav
13,horrivel,2,grav
22,janela,1,grav
2,livre,16,grav
1,menina,19,grav
8,meninas,3,grav
3,menino,13,grav
14,novo,2,grav
4,pesadelo,11,grav
16,sonha,2,grav
26,sonhamos,1,grav
17,sonhando,2,grav
12,sonhar,2,grav
27,sonharam,1,grav
24,sonhe,1,grav
15,sonhos,2,grav
9,trigemeas,2,grav
7,trigemeos,3,grav
6,vitima,3,grav
3,cachorra,9,cachorr
0,cachorro,48,cachorr
1,cachorros,15,cachorr
2,casa,11,cachorr
5,querendo,3,cachorr
7,querer,1,cachorr
4,queria,9,cachorr
6,quero,2,cachorr
4,ia,10,lanc
14,iam,1,lanc
5,lanca,6,lanc
11,lancada,1,lanc
0,lancado,25,lanc
7,lancando,5,lanc
3,lancar,13,lanc
10,lancas,1,lanc
1,lancava,20,lanc
9,lancavam,2,lanc
8,lance,3,lanc
6,lancou,6,lanc
2,musica,18,lanc
13,musical,1,lanc
12,musicas,1,lanc
4,casa,10,ia
13,casada,1,ia
14,casal,1,ia
11,casamento,1,ia
15,casando,1,ia
6,casar,5,ia
12,castrar,1,ia
8,fazendo,2,ia
3,fazer,26,ia
5,fazia,5,ia
10,faziam,1,ia
7,filho,5,ia
0,ia,295,ia
9,iam,1,ia
2,pai,31,ia
1,show,66,ia
